idx,Submission Date_x,Submission IP,Readability,Maintainability,Extensibility,Scalability,Recognition,Convincingness,Pleasingness,Completeness,Gracefulness,Harmoniousness,Sustainability,Overall,Submission Date_y,Age,Gender,exp_w_java,exp_w_py,exp_w_c,exp_w_cpp,exp_total,Are you currently a student?,problem_num,solution_num,global_solution_num
6,"Jul 18, 2023",162.229.180.78,4,4,4,4,4,4,4,4,4,4,4,4,"Jul 18, 2023",35 - 49,Male,1,4,2,1,5,,3,2,12
7,"Jul 17, 2023",129.72.170.58,3,2,2,2,3,3,3,3,2,3,2,3,"Jul 17, 2023",50+,Female,2,1,2,3,5,,3,2,12
8,"May 10, 2023",68.9.160.75,4,4,2,3,3,4,3,4,4,4,3,3,"May 6, 2023",35 - 49,Male,4,2,5,4,5,,3,2,12
0,"Oct 15, 2023",134.88.137.115,4,4,4,4,4,4,4,4,4,4,4,4,"Oct 15, 2023",18 - 25,Female,2,1,2,0,3,Yes - college undergraduate,3,3,13
1,"Oct 14, 2023",24.60.90.2,2,2,1,2,2,2,2,2,2,2,2,2,"Oct 14, 2023",18 - 25,Male,0,3,4,4,4,Yes - college graduate,3,3,13
2,"Oct 7, 2023",134.88.135.111,3,3,3,3,3,3,3,3,3,3,3,3,"Oct 7, 2023",18 - 25,Male,2,3,3,1,3,Yes - college graduate,3,3,13
3,"Sep 29, 2023",73.68.203.24,3,4,3,4,5,5,4,4,4,4,4,4,"Sep 24, 2023",35 - 49,Male,4,1,1,2,5,No,3,3,13
4,"Sep 17, 2023",74.104.133.99,4,5,5,5,4,5,5,5,5,5,5,4,"Sep 17, 2023",35 - 49,Male,5,0,5,5,5,No,3,3,13
5,"Jul 26, 2023",62.16.147.205,5,5,5,3,4,3,4,4,4,3,3,4,"Jul 26, 2023",35 - 49,Male,0,4,0,0,5,,3,3,13
6,"Jul 18, 2023",162.229.180.78,5,5,5,5,5,5,5,5,5,5,5,5,"Jul 18, 2023",35 - 49,Male,1,4,2,1,5,,3,3,13
7,"Jul 17, 2023",129.72.170.58,3,3,3,3,4,3,4,3,2,3,2,3,"Jul 17, 2023",50+,Female,2,1,2,3,5,,3,3,13
8,"May 10, 2023",68.9.160.75,4,4,3,4,5,4,4,3,4,4,4,4,"May 6, 2023",35 - 49,Male,4,2,5,4,5,,3,3,13
0,"Oct 15, 2023",134.88.137.115,4,3,3,4,5,5,3,5,4,4,4,4,"Oct 15, 2023",18 - 25,Female,2,1,2,0,3,Yes - college undergraduate,3,4,14
1,"Oct 14, 2023",24.60.90.2,2,2,2,2,2,1,2,4,2,1,3,3,"Oct 14, 2023",18 - 25,Male,0,3,4,4,4,Yes - college graduate,3,4,14
2,"Oct 7, 2023",134.88.135.111,1,1,1,1,1,1,1,1,1,1,1,1,"Oct 7, 2023",18 - 25,Male,2,3,3,1,3,Yes - college graduate,3,4,14
3,"Sep 29, 2023",73.68.203.24,4,4,4,4,4,5,5,4,4,5,5,4,"Sep 24, 2023",35 - 49,Male,4,1,1,2,5,No,3,4,14
4,"Sep 17, 2023",74.104.133.99,2,2,2,3,2,3,2,4,3,4,4,2,"Sep 17, 2023",35 - 49,Male,5,0,5,5,5,No,3,4,14
5,"Jul 26, 2023",62.16.147.205,1,2,2,4,1,2,1,1,1,3,3,1,"Jul 26, 2023",35 - 49,Male,0,4,0,0,5,,3,4,14
6,"Jul 18, 2023",162.229.180.78,3,3,3,3,3,5,2,5,2,2,2,2,"Jul 18, 2023",35 - 49,Male,1,4,2,1,5,,3,4,14
7,"Jul 17, 2023",129.72.170.58,4,3,2,2,3,3,4,4,3,4,3,3,"Jul 17, 2023",50+,Female,2,1,2,3,5,,3,4,14
8,"May 10, 2023",68.9.160.75,3,3,2,3,2,2,2,4,3,3,3,2,"May 6, 2023",35 - 49,Male,4,2,5,4,5,,3,4,14
0,"Oct 15, 2023",134.88.137.115,3,4,4,4,3,5,3,5,3,4,4,4,"Oct 15, 2023",18 - 25,Female,2,1,2,0,3,Yes - college undergraduate,3,5,15
1,"Oct 14, 2023",24.60.90.2,4,4,4,3,3,3,4,2,2,2,4,4,"Oct 14, 2023",18 - 25,Male,0,3,4,4,4,Yes - college graduate,3,5,15
2,"Oct 7, 2023",134.88.135.111,3,3,3,3,3,3,3,3,3,3,3,3,"Oct 7, 2023",18 - 25,Male,2,3,3,1,3,Yes - college graduate,3,5,15
3,"Sep 29, 2023",73.68.203.24,5,5,5,5,5,5,5,5,5,5,5,5,"Sep 24, 2023",35 - 49,Male,4,1,1,2,5,No,3,5,15
4,"Sep 17, 2023",74.104.133.99,3,3,3,3,4,4,3,4,4,4,4,3,"Sep 17, 2023",35 - 49,Male,5,0,5,5,5,No,3,5,15
5,"Jul 26, 2023",62.16.147.205,3,3,4,4,3,4,2,3,2,3,3,3,"Jul 26, 2023",35 - 49,Male,0,4,0,0,5,,3,5,15
6,"Jul 18, 2023",162.229.180.78,4,3,3,3,4,4,4,4,3,3,3,3,"Jul 18, 2023",35 - 49,Male,1,4,2,1,5,,3,5,15
7,"Jul 17, 2023",129.72.170.58,3,2,3,2,3,2,2,3,2,2,2,3,"Jul 17, 2023",50+,Female,2,1,2,3,5,,3,5,15
8,"May 10, 2023",68.9.160.75,3,2,2,4,3,3,2,2,2,3,3,2,"May 6, 2023",35 - 49,Male,4,2,5,4,5,,3,5,15
0,"Oct 15, 2023",134.88.137.115,3,3,4,4,3,3,4,3,3,4,4,3,"Oct 15, 2023",18 - 25,Female,2,1,2,0,3,Yes - college undergraduate,4,1,16
1,"Oct 14, 2023",24.60.90.2,2,2,2,3,4,4,3,4,3,4,4,3,"Oct 14, 2023",18 - 25,Male,0,3,4,4,4,Yes - college graduate,4,1,16
2,"Oct 7, 2023",134.88.135.111,3,2,2,3,3,3,4,3,4,3,3,4,"Oct 7, 2023",18 - 25,Male,2,3,3,1,3,Yes - college graduate,4,1,16
3,"Sep 29, 2023",73.68.203.24,4,4,2,2,3,5,4,4,3,4,4,3,"Sep 24, 2023",35 - 49,Male,4,1,1,2,5,No,4,1,16
4,"Sep 17, 2023",74.104.133.99,2,2,2,3,1,2,2,1,2,2,2,2,"Sep 17, 2023",35 - 49,Male,5,0,5,5,5,No,4,1,16
5,"Jul 26, 2023",62.16.147.205,3,3,3,4,2,3,2,3,2,4,4,3,"Jul 26, 2023",35 - 49,Male,0,4,0,0,5,,4,1,16
6,"Jul 18, 2023",162.229.180.78,3,3,3,3,3,3,3,3,3,3,3,3,"Jul 18, 2023",35 - 49,Male,1,4,2,1,5,,4,1,16
7,"May 13, 2023",68.9.160.75,4,3,3,4,3,4,3,3,4,4,3,3,"May 6, 2023",35 - 49,Male,4,2,5,4,5,,4,1,16
0,"Oct 15, 2023",134.88.137.115,3,4,4,3,3,4,5,4,4,3,3,4,"Oct 15, 2023",18 - 25,Female,2,1,2,0,3,Yes - college undergraduate,4,2,17
1,"Oct 14, 2023",24.60.90.2,4,4,5,5,5,4,,5,4,4,3,4,"Oct 14, 2023",18 - 25,Male,0,3,4,4,4,Yes - college graduate,4,2,17
2,"Oct 7, 2023",134.88.135.111,4,3,4,4,4,5,5,5,5,5,5,5,"Oct 7, 2023",18 - 25,Male,2,3,3,1,3,Yes - college graduate,4,2,17
3,"Sep 29, 2023",73.68.203.24,5,5,5,3,5,5,5,5,5,5,3,4,"Sep 24, 2023",35 - 49,Male,4,1,1,2,5,No,4,2,17
4,"Sep 17, 2023",74.104.133.99,5,5,5,5,3,5,5,4,5,4,3,4,"Sep 17, 2023",35 - 49,Male,5,0,5,5,5,No,4,2,17
5,"Jul 26, 2023",62.16.147.205,5,4,3,3,4,4,5,4,4,5,3,4,"Jul 26, 2023",35 - 49,Male,0,4,0,0,5,,4,2,17
6,"Jul 18, 2023",162.229.180.78,3,4,4,4,3,2,4,4,4,3,4,3,"Jul 18, 2023",35 - 49,Male,1,4,2,1,5,,4,2,17
7,"May 13, 2023",68.9.160.75,5,5,2,3,5,5,4,4,4,4,3,5,"May 6, 2023",35 - 49,Male,4,2,5,4,5,,4,2,17
0,"Oct 15, 2023",134.88.137.115,3,3,4,4,2,3,5,4,5,4,4,4,"Oct 15, 2023",18 - 25,Female,2,1,2,0,3,Yes - college undergraduate,4,3,18
1,"Oct 14, 2023",24.60.90.2,4,3,4,4,3,5,5,3,3,3,2,4,"Oct 14, 2023",18 - 25,Male,0,3,4,4,4,Yes - college graduate,4,3,18
2,"Oct 7, 2023",134.88.135.111,5,5,5,5,5,5,5,5,5,5,5,5,"Oct 7, 2023",18 - 25,Male,2,3,3,1,3,Yes - college graduate,4,3,18
3,"Sep 29, 2023",73.68.203.24,5,5,5,3,5,5,5,5,5,5,3,4,"Sep 24, 2023",35 - 49,Male,4,1,1,2,5,No,4,3,18
4,"Sep 17, 2023",74.104.133.99,3,4,4,4,4,3,4,4,4,4,4,4,"Sep 17, 2023",35 - 49,Male,5,0,5,5,5,No,4,3,18
5,"Jul 26, 2023",62.16.147.205,5,5,4,4,5,5,5,5,5,5,3,5,"Jul 26, 2023",35 - 49,Male,0,4,0,0,5,,4,3,18
6,"Jul 18, 2023",162.229.180.78,4,4,4,4,4,5,5,5,5,5,5,5,"Jul 18, 2023",35 - 49,Male,1,4,2,1,5,,4,3,18
7,"May 13, 2023",68.9.160.75,5,4,2,3,4,4,4,5,4,5,4,4,"May 6, 2023",35 - 49,Male,4,2,5,4,5,,4,3,18
0,"Oct 15, 2023",134.88.137.115,4,5,5,5,3,4,4,4,3,3,4,4,"Oct 15, 2023",18 - 25,Female,2,1,2,0,3,Yes - college undergraduate,4,4,19
1,"Oct 14, 2023",24.60.90.2,4,4,3,4,5,5,5,4,3,4,4,3,"Oct 14, 2023",18 - 25,Male,0,3,4,4,4,Yes - college graduate,4,4,19
2,"Oct 7, 2023",134.88.135.111,5,5,5,5,5,5,5,5,5,5,5,5,"Oct 7, 2023",18 - 25,Male,2,3,3,1,3,Yes - college graduate,4,4,19
3,"Sep 29, 2023",73.68.203.24,5,5,5,4,5,5,5,5,5,5,4,5,"Sep 24, 2023",35 - 49,Male,4,1,1,2,5,No,4,4,19
4,"Sep 17, 2023",74.104.133.99,4,4,4,4,3,3,4,4,4,4,4,3,"Sep 17, 2023",35 - 49,Male,5,0,5,5,5,No,4,4,19
5,"Jul 26, 2023",62.16.147.205,4,4,4,3,4,4,4,4,4,4,3,4,"Jul 26, 2023",35 - 49,Male,0,4,0,0,5,,4,4,19
6,"Jul 18, 2023",162.229.180.78,4,4,4,4,4,4,4,4,3,3,3,4,"Jul 18, 2023",35 - 49,Male,1,4,2,1,5,,4,4,19
7,"May 13, 2023",68.9.160.75,4,4,3,3,5,5,4,5,4,4,4,4,"May 6, 2023",35 - 49,Male,4,2,5,4,5,,4,4,19
0,"Oct 15, 2023",134.88.137.115,4,4,4,4,3,4,4,3,4,3,4,4,"Oct 15, 2023",18 - 25,Female,2,1,2,0,3,Yes - college undergraduate,4,5,20
1,"Oct 14, 2023",24.60.90.2,5,5,3,3,4,3,4,5,4,4,4,5,"Oct 14, 2023",18 - 25,Male,0,3,4,4,4,Yes - college graduate,4,5,20
2,"Oct 7, 2023",134.88.135.111,4,5,4,5,4,4,4,,4,4,4,5,"Oct 7, 2023",18 - 25,Male,2,3,3,1,3,Yes - college graduate,4,5,20
3,"Sep 29, 2023",73.68.203.24,3,3,2,4,3,4,3,5,3,4,3,3,"Sep 24, 2023",35 - 49,Male,4,1,1,2,5,No,4,5,20
4,"Sep 17, 2023",74.104.133.99,3,3,3,4,3,3,2,3,3,3,3,3,"Sep 17, 2023",35 - 49,Male,5,0,5,5,5,No,4,5,20
5,"Jul 26, 2023",62.16.147.205,3,4,3,3,3,4,2,3,3,4,3,3,"Jul 26, 2023",35 - 49,Male,0,4,0,0,5,,4,5,20
6,"Jul 18, 2023",162.229.180.78,3,3,3,3,3,3,3,3,3,3,3,3,"Jul 18, 2023",35 - 49,Male,1,4,2,1,5,,4,5,20
7,"May 13, 2023",68.9.160.75,3,3,2,3,3,3,3,3,3,3,3,3,"May 6, 2023",35 - 49,Male,4,2,5,4,5,,4,5,20
